reviewer,date,link,text
Ola Awoyemi,2025-08-21,https://www.trustpilot.com/review/www.europcar.co.uk?stars=1&sort=recency&page=1,"Hands down the worse customer service experience I have ever had, lack of humanity and care. I used my digital card to make a booking online, not knowing i needed to present a physical card in branch,... See more"
Ola Awoyemi,2025-08-21,https://www.trustpilot.com/reviews/68a6bdc7716c455f96ba7b23,"Hands down the worse customer service experience I have ever had, lack of humanity and care. I used my digital card to make a booking online, not knowing i needed to present a physical card in branch, I’ve been told I can’t get a refund as the package is non refundable, it was a honest mistake and should be looked at as such. Complete scam. Avoid Europcar if you want better customer care please go elsewhere!"
Mrs Beverley Treviss,2025-08-20,https://www.trustpilot.com/reviews/68a5da0ffd1f7d4b571a38d4,Totally rubbish telling you no delivery till tomorrow or you can collect. Totally unacceptable behaviour to a disabled person
Andy Craddock,2025-08-20,https://www.trustpilot.com/reviews/68a5b806a13444d0ac2f526e,"I had a great rental experience with Europcar last week and it was all because of Tami at the Heathrow pick up desk on the N Perimeter Rd at Heathrow. Efficient, polite and helpful all through the pick up process he's a credit to the company. The car was clean, in great condition and drop off was super efficient a couple of days later. Very good experience. Thank you!"
Food Journeyz,2025-08-19,https://www.trustpilot.com/reviews/68a4b0311a73c9faacbdfdfc,"Europcar took 3 payments out of wife's bank account twice for identical sums of money. She is still waiting for a refund and being fed a load of lies from Europcar even with them having accepted liability for the error and told her that the money was released 2 weeks ago. Its now a month since it happened. On top of this, the car has been returned and their pre authorisations have not been released and the deposit has not been returned.
Their continued moving of timelines and this behavior has to be illegal as I do not understand how they can simply take money out of a bank account when the customer has not authorised it. Tesco can't do that with shopping."
Justin,2025-08-19,https://www.trustpilot.com/reviews/68a46a40a56d1f0ab690bf14,"The booking.com website led me to Keddy by Europcar at Valencia airport in July with the promise of ""no queues"" but I had to wait more than 30 minutes to collect on arrival. I reserved a ""T-Roc or similar"" and tried to pre-empt me not getting ""or similar"" by contacting Europcar (Madrid) in advance. They responded with a ""we cannot promise anything"" and indeed when I arrived was given a Hyundai Tucson covered in scratches with a flogged engine 65k on the clock. Europcar then pre-authorised 800 Euros on my credit card in case of collision even though I had paid an extra 70 pounds to booking.com for full additional insurance (excess insurance). I hated the Hyundai Tucson. The safety features were infuriating with the parking brake auto-hold not having a light on the console and the locked patrol cap. The staff were very polite at Europcar Valencia airport but the experience was a let-down. One week after returning the car I noticed a further charge from Europcar on my credit card. When I contacted them they said it was an ""environmental contribution"" charged to me in error when it should have been charged to the intermediary (i.e. booking.com). Long story short I would avoid using either Europcar or booking.com for a car rental in the future."
Edel Smith,2025-08-18,https://www.trustpilot.com/reviews/68a3880444407031da9d5384,"Scam, not only did they take additional money for insurance, they kept my deposit saying I scratched the car."
Neal Stow,2025-08-18,https://www.trustpilot.com/reviews/68a387b089b4ba71aad48d5d,"Avoid

I rented a car for a month in June 2025. The collection was smooth although, while the car had been washed, it had not been wiped dry and so was covered with water marks. I inspected the car reasonably thoroughly and could not see any damage.

On returning the car the member of staff immediately identified what she claimed was damage but to my mind was a mark on the rear bumper that was hardly visible and not possible to see without wiping away the water marks. Nevertheless, the staff member required me to sign the Statement of Return acknowledging the damage. She told me that is it was the only way I would get my deposit back and also implied that the damage would be assessed by an expert and would probably not be an issue. As I was in a hurry to catch my flight I signed document."
EPCW,2025-08-18,https://www.trustpilot.com/reviews/68a38503800e485e22d9bf78,"Unbelievable experience with this awful company and the partner companies I have had to deal with.
Booked a Citroen C3 fuel car for 12 days in Tolouse in late July. (almost £300 total) . I used the GOTrentalcars website to book the car from Europcar.

My Ryanair flight was late so I got to the Europcar at 12.30am. They did not have the Citroen C3. They insisted I had booked an electric car of the lowest category. ( Major Red Flag) I insisted I hadn't because I deliberately excluded electric cars when booking. The electric car they wanted to give me could only drive for 1 hour before needing charging. I would never have willingly booked this.

They only had 1 fuel car to offer me but it was going to cost an extra £60 PER DAY!!! I was absolutely stuck, I had a young child with me and it was 1am on a saturday night, I had to drive for 1.5 hours to get to our accomodation. I was forced to get the fuel car at £60 extra per day but they said I could try and explain the next day and change it. All day Sunday and Monday was ruined because I was trying to sort out the situation on the phone and eventually just had to go back to return the car and try to get refunded for the 10 days. But they still have not refunded me. ( RED FLAG - staff directly lied to me)
However the Europcar staff at Toulouse airport were completely UNHELPFUL and RUDE. RED FLAG. I had an argument with them in the Toulouse airport. I parked the car near their returns office and went away for an hour.

When I came back to return the car, they said there was a dimple on the rear door. RED FLAG! I KNOW that I hadn't ever touched this door or seen the dimple when I checked the car over. I think they did it out of malice for my complaining. I asked to check cctv but there wasnt any. They forced me to sign a thing saying I had created the dimple. I definitely did not. It is so small that I took a close-up photo and you still can't see it. They have taken £800 out of my bank account. They have not even refunded me 10 days' worth of £ that I had paid.

Every staff member that I spoke to from GOTrental cars and Europcar says I signed the contract in the first place for the car. I keep saying I was FORCED to sign it because I was stuck in the middle of the night with a child and they did not have the car I had booked. I am being totally GASLIT by these theiving, tricking, fraudulent blatant liars, and they now owe me £1200 plus 2 days of my holiday plus petrol and toll money to return the wrong car.

THEY WILL NOT GET AWAY WITH THIS."
Fraser Barclay,2025-08-18,https://www.trustpilot.com/reviews/68a35bae487be95dfdd67e64,"After using this company for car rentals quite often over a few years, I thought I'd grown to trust them as one of the better car rental companies that weren't out to scam you at every possible opportunity.

Unfortunately, I was proven wrong when I was handed a cleaning fee for having some dirt, from a shoe, in the footwell of the car. This was deemed excessive and upon querying the matter, I was told this would require 'expert third party cleaners ' and 'the cleaning of a interior specialist'.

Direct quotes, yet evidence of this was never produced and I was ignored for over a month before receiving a dismissive email saying they will not be replying any more.

If only photos were allowed on this platform to show how little dirt was apparently deemed to be excessive. I have since moved to using other car rental companies, as this lack of customer service for a long-standing customer, or anyone, is just not good enough.

I will be reporting them to the British Vehicle Rental and Leasing Association for breaching their code of conduct in their handling of this matter."
Chris,2025-08-19,https://www.trustpilot.com/reviews/68a3540890ee2d6cbf4d522a,"I booked a hire car and paid for it using my Monzo card, got a train to Gatwick Airport and brough this card with me like the booking confirmation said to. I hired another vehicle with Europcar earlier this year and had no problems paying the deposit using this card.

Got to the branch to be told by staff that they don't accept Monzo so I couldn't hire the car. Nobody could explain why this was their policy, only that they had to cancel the booking.

I offered to make a full payment for the deposit amount which could be refunded when I returned the car, but the staff weren't having it either. I spoke to the branch manager, who could only tell me that they didn't accept Monzo and I'd have to cancel my booking.

This policy seems to be based on the understanding that Monzo cards aren't ""real debit cards"", which doesn't seem to be true.

In the end, I had to ask my friend to travel to the branch with another card, and Europcar refuse to cover the costs of this even though (1) they literally told me to bring the card I used to pay for the booking and (2) their terms say they accept debit cards.

Europcar's customer service have just ignored my attempts to get them to refund me for these costs, or to at least explain their policy. Useless.

If anyone from Europcar reads this, my case number is 23955880."
